Date,Close,High,Low,Open,Volume
2020-01-01,726.844970703125,735.3666701356344,724.7506751612422,729.9262621571836,913648
2020-01-02,739.1941528320312,741.8180902646637,728.4337584387213,728.9152083782049,1452578
2020-01-03,740.1089477539062,742.0588435916266,733.4408775913918,738.7368271280923,708174
2020-01-06,722.8971557617188,735.655580422182,720.9713558129696,735.1741304349947,906262
2020-01-07,734.2352294921875,738.544182800097,729.1318132854493,731.803883869718,1008480
2020-01-08,728.89111328125,738.7608370529636,726.0265096460505,726.0265096460505,540976
2020-01-09,745.260498046875,746.1512275563713,737.5091648628566,740.1090065962684,516028
2020-01-10,745.1401977539062,749.9787941275479,741.4811892317813,746.2475563458187,385348
2020-01-13,743.0938720703125,750.339717036032,740.7829476652752,744.8030428326862,457820
2020-01-14,736.1610717773438,746.4881497277099,733.1038175690211,742.6124541102157,594756
2020-01-15,733.729736328125,741.6495646325544,731.3224865370222,740.710760722323,453546
2020-01-16,740.3255615234375,742.8772697561087,735.8962455101828,736.1610664898783,775492
2020-01-17,761.00390625,763.0019353781147,746.8011321459114,746.8011321459114,1234874
2020-01-20,737.5814208984375,774.8937969556365,735.1741708302311,774.1957179441581,1302672
2020-01-21,738.5202026367188,744.2976026261188,733.2483486546919,736.4740401404729,644382
2020-01-22,738.1109008789062,744.658608394087,737.0517345054011,741.6977382410967,398218
2020-01-23,735.1741333007812,742.1792541499632,732.285433366397,740.6626749302613,393250
2020-01-24,732.6224365234375,739.7238239752796,731.1540492958464,735.655595011169,640652
2020-01-27,725.3524780273438,733.8982145822498,724.5821698666844,729.420765339873,381234
2020-01-28,708.3814697265625,727.2061536096808,704.9390903558779,725.5692705708692,759576
2020-01-29,712.4015502929688,719.5029378807019,705.3242587138341,710.6202087792622,716770
2020-01-30,694.4915771484375,714.4476547651316,693.2879522313692,714.4476547651316,595176
2020-01-31,679.662841796875,700.148559800274,677.6166795970117,698.5838475297903,978428
2020-02-03,667.2174682617188,673.5485474922978,656.4570725559314,660.5493975406952,942420
2020-02-04,686.4754638671875,689.3641638382419,673.0189600103259,673.0670932556932,1526058
2020-02-05,697.1636962890625,699.2098587898865,688.569766769,690.3993002780376,787656
2020-02-06,701.7855224609375,706.0222467046955,693.3841856776635,699.5467684677143,674512
2020-02-07,690.2788696289062,699.4505147354126,687.7512573774316,699.4505147354126,391988
2020-02-10,691.7232055664062,695.9840258075681,679.3499655402991,688.4734184513387,437314
2020-02-11,699.3541259765625,705.6370707965659,695.7192144264868,696.0562058544506,701466
2020-02-12,707.7314453125,709.6572451636905,700.9911458333333,701.9299497524897,572624
2020-02-13,709.6331787109375,712.4015161123152,704.2168664038942,712.4015161123152,2405196
2020-02-14,715.7476196289062,722.6564150405337,699.6912746598036,711.5108363255655,1428950
2020-02-17,711.7756958007812,725.0637041221767,709.9702582905169,717.360504078382,1035614
2020-02-18,705.853759765625,712.0644758732324,701.9540269257423,712.0644758732324,741564
2020-02-19,724.197021484375,725.3043799238558,710.4035268582132,710.4035268582132,582292
2020-02-20,715.19384765625,726.0023747234384,714.2068518236887,721.54896301639,3023986
2020-02-24,695.623046875,711.1016767105622,693.0954342800572,711.1016767105622,800816
2020-02-25,681.877685546875,698.776569462818,678.8445269183001,698.1025276819398,616686
2020-02-26,669.8895263671875,681.251734352054,667.8914971589306,679.8555176299739,536584
2020-02-27,667.193359375,671.1171294224199,659.393834979171,669.2154256420231,692796
2020-02-28,639.6785888671875,654.1943189067847,637.9212845179493,654.1943189067847,782068
2020-03-02,633.0345458984375,658.9847136836752,627.570099935467,654.0017177398344,713922
2020-03-03,646.9002075195312,651.570248312893,636.3805383467468,640.3284042480994,903718
2020-03-04,644.7337036132812,651.4017735768255,629.7846593588188,650.0777862321571,3382632
2020-03-05,631.4215698242188,653.9774868129332,628.7735952652914,649.9573917367101,849180
2020-03-06,611.4654541015625,620.2759517944022,597.7681695179286,614.3300574284548,5165912
2020-03-09,535.926025390625,599.4051897564681,527.163601008846,599.4051897564681,3356308
2020-03-11,555.2322387695312,567.3407185965664,534.4095252843526,535.9261046102565,12107058
2020-03-12,511.1073303222656,529.9320143812156,505.2817968247919,523.3361726046202,2085464
2020-03-13,532.9169921875,548.8048414550947,452.49074988672476,483.857227694929,4340816
2020-03-16,488.79205322265625,519.7974412166861,484.12198291193516,513.0571420341033,1802300
2020-03-17,485.73492431640625,509.8555579377825,483.37580752552753,501.28572429606066,1929552
2020-03-18,466.4527893066406,498.34884965682625,462.7697146861077,492.5233168036212,2009348
2020-03-19,441.5377197265625,465.8028079899554,428.971888288424,445.34118593354907,3133548
2020-03-20,491.17529296875,497.6748385448892,447.7725639715939,452.08154732315495,3558754
2020-03-23,425.5295104980469,458.34033510673777,421.60571118481624,442.9339372880239,2495152
2020-03-24,454.0554504394531,467.1990579981025,431.2828729618917,454.00731719708125,2051048
2020-03-25,520.5677490234375,554.6303323699422,457.8588941699783,457.8588941699783,235217600
2020-03-26,517.4382934570312,537.8517815010871,502.22448797624844,524.780404622623,1843836
2020-03-27,512.9849243164062,533.3020888007426,504.1984626845204,529.5949476753138,174958740
2020-03-30,497.02484130859375,517.0772433664802,491.0789462139756,504.53544873183483,2954592
2020-03-31,535.5890502929688,543.557071618171,504.94480359079756,515.632970507583,4238798
2020-04-01,520.2789306640625,541.6071294345645,502.99486469359294,537.3944421255729,1650822
2020-04-03,519.0994262695312,544.8088709842991,508.89270860245904,544.0385626497433,2946812
2020-04-07,580.8212280273438,584.3357773792816,530.0763918408383,532.4836415767186,2493958
2020-04-08,573.9605712890625,591.6778942373139,559.37261425402,565.7036928687859,2144752
2020-04-09,586.9837036132812,593.5073733670641,574.4901020241325,583.1321043539533,1249560
2020-04-13,572.564453125,584.9617915046248,568.1110403090183,581.5916412655035,891838
2020-04-15,553.6915893554688,595.0480968419517,550.1528848813862,578.2214430524317,1668310
2020-04-16,562.6705322265625,571.6495855349643,552.0305001014095,552.0305001014095,1184128
2020-04-17,589.8003540039062,592.1353747814105,574.2253992761634,587.369007962645,1118628
2020-04-20,599.140380859375,605.1826013822701,578.8473120062332,590.4983775619366,1592778
2020-04-21,595.0962524414062,603.0401768598329,560.6243879484839,581.6396906641077,2294518
2020-04-22,656.384765625,666.6637101161621,625.8849236020784,635.5139224267258,5259100
2020-04-23,660.30859375,667.2173886457326,652.0035822719194,659.4419603483371,2930426
2020-04-24,682.383056640625,719.7676560131138,648.9945152546337,652.3165315749969,4904136
2020-04-27,688.617919921875,709.922081228105,685.0792156035633,693.2879611518904,2305534
2020-04-28,687.5587158203125,700.3893697492819,670.1542870072611,698.7765240443083,2603096
2020-04-29,686.6439208984375,699.5708995566857,683.8996795889564,696.1766537737634,1285934
2020-04-30,706.3111572265625,719.526934557068,693.2879128552545,700.028212008014,2554254
2020-05-04,691.0733032226562,705.2760774307661,683.5385993886109,694.2508612913379,1957714
2020-05-05,703.3983764648438,711.9682090772312,696.6580771694928,698.6079729739462,1313120
2020-05-06,703.7113037109375,714.4716979193887,696.1766005333127,703.8797994327132,1380266
2020-05-07,725.6654663085938,728.7707951026268,695.6470724735307,698.1024555630856,1983646
2020-05-08,751.9285278320312,760.5464346042664,740.2774042070326,746.2473951221587,2864732
2020-05-11,759.126220703125,777.4694523349209,756.8393334043524,761.653832980716,2132702
2020-05-12,712.6663208007812,759.7280555471257,700.5097090120836,759.7280555471257,5731294
